"Time (s)","Sound pressure level (dB)"
5.521621779E1,-4.519931592E1
5.540453743E1,-4.668715426E1
5.560993586E1,-4.257727172E1
5.580754956E1,-4.532607102E1
5.600610144E1,-4.859761277E1
5.621400467E1,-4.447080160E1
5.640873774E1,-4.634500768E1
5.661087019E1,-4.571588312E1
5.680253258E1,-4.716770392E1
5.702460050E1,-4.483832857E1
5.720986717E1,-4.570404660E1
5.741219008E1,-4.610429431E1
5.760776253E1,-4.513661234E1
5.780512612E1,-4.618455987E1
5.800958227E1,-4.690954619E1
5.821756019E1,-4.609723207E1
5.841569503E1,-4.646473558E1
5.860805743E1,-4.699120602E1
5.880391774E1,-4.343852854E1
5.900679680E1,-4.411567586E1
5.921479076E1,-4.847894178E1
5.940699446E1,-4.528270534E1
5.960854185E1,-4.307816726E1
5.980750076E1,-4.398225020E1
6.000316909E1,-4.768677782E1
6.020494716E1,-4.525153752E1
6.041167873E1,-4.616847322E1
6.061336670E1,-4.361977069E1
6.081921315E1,-4.559570488E1
6.100589774E1,-4.796560124E1
6.121146716E1,-4.827311965E1
6.141088581E1,-4.484702687E1
6.161633180E1,-4.437314050E1
6.180900930E1,-4.606382494E1
6.200588815E1,-4.632046591E1
6.220854711E1,-4.636269377E1
6.240577826E1,-4.886899526E1
6.261315331E1,-4.689210127E1
6.280491091E1,-4.543118788E1
6.300718831E1,-4.639279112E1
6.321797425E1,-4.524109950E1
6.342272701E1,-4.683636494E1
6.360731466E1,-4.709433023E1
6.381029951E1,-4.420268607E1
6.400611607E1,-4.659774523E1
6.420637227E1,-4.665884729E1
6.440426742E1,-4.603333091E1
6.461083846E1,-4.636346752E1
6.481407768E1,-4.968479362E1
6.500914550E1,-4.409253943E1
6.521156659E1,-4.304934965E1
6.540327841E1,-4.731078336E1
6.561345445E1,-4.713250069E1
6.581027445E1,-4.609926220E1
6.600628169E1,-4.574205737E1
6.620887227E1,-4.660180341E1
6.640574701E1,-4.680845908E1
6.661489274E1,-4.532361954E1
6.680912628E1,-4.511089757E1
6.700372987E1,-4.809006818E1
6.720598846E1,-4.672769997E1
6.741638227E1,-4.537593271E1
6.760700831E1,-4.421322029E1
6.780636560E1,-4.412642181E1
6.800764117E1,-4.473873274E1
6.820963523E1,-4.642575523E1
6.840964456E1,-4.548110110E1
6.860606378E1,-4.424072753E1
6.881528872E1,-4.617376666E1
6.900655133E1,-4.408604784E1
6.920568164E1,-4.432752754E1
6.941078643E1,-4.331069546E1
6.960814700E1,-4.628273212E1
6.980828315E1,-4.739339102E1
7.000577997E1,-4.286832222E1
7.020261857E1,-4.475691630E1
7.040819982E1,-4.480610756E1
7.061087112E1,-4.572882162E1
7.080997159E1,-4.306638135E1
7.100577086E1,-4.675834022E1
7.120897805E1,-4.563721802E1
7.140993997E1,-4.476449861E1
7.160259018E1,-4.565961413E1
7.180660758E1,-4.632111419E1
7.200683372E1,-4.668532267E1
7.221957028E1,-4.493370121E1
7.240700070E1,-4.804287945E1
7.260466758E1,-4.684697516E1
7.281298482E1,-4.443496368E1
7.300430482E1,-4.753446985E1
7.320651971E1,-4.782361335E1
7.340594544E1,-4.651173992E1
7.360539976E1,-4.420412026E1
7.381155909E1,-4.615480969E1
7.400566153E1,-4.581888749E1
7.420865518E1,-4.650793100E1
7.440991101E1,-4.596161360E1
7.460619643E1,-4.460167301E1
7.480758804E1,-4.382962615E1
7.501263315E1,-4.694693108E1
7.520993784E1,-4.510590243E1
7.541565034E1,-4.530270086E1
7.560276018E1,-4.473765746E1
7.580610549E1,-4.565087470E1
7.600799044E1,-4.447737507E1
7.620492091E1,-4.599293684E1
7.641260679E1,-4.507974873E1
7.661714435E1,-4.668223779E1
7.680315237E1,-4.640590355E1
7.700519372E1,-4.446819773E1
7.720744278E1,-4.366252127E1
7.740505549E1,-4.624459983E1
7.760629742E1,-4.599248624E1
7.781517888E1,-4.210994140E1
7.800445570E1,-4.426448605E1
7.820417586E1,-4.424906042E1
7.841125414E1,-4.584087989E1
7.860871768E1,-4.318211397E1
7.880554664E1,-4.500359469E1
7.901201612E1,-4.646208745E1
7.920635690E1,-4.651606659E1
7.940865773E1,-4.578156148E1
7.960671169E1,-4.480007808E1
7.980578075E1,-4.551261125E1
8.000919721E1,-4.590436563E1
8.020926799E1,-4.592145067E1
8.040750825E1,-4.347428512E1
8.061241226E1,-4.570782770E1
8.081112023E1,-4.375313888E1
8.100904393E1,-4.438526757E1
8.120605132E1,-4.481546024E1
8.140723674E1,-4.533565393E1
8.160755716E1,-4.664256915E1
8.180665356E1,-4.497972943E1
8.200407377E1,-4.492014266E1
8.220727799E1,-4.543199169E1
8.241053575E1,-4.366104517E1
8.260571361E1,-4.545627886E1
8.281267705E1,-4.386754185E1
8.300803325E1,-4.638998603E1
8.321135038E1,-4.342133266E1
8.341008137E1,-4.538035367E1
8.360525658E1,-4.472677104E1
8.380754190E1,-4.656508125E1
8.401017106E1,-4.505388132E1
8.420586846E1,-4.673845385E1
8.440916997E1,-4.693341450E1
8.461588716E1,-4.421149964E1
8.481216361E1,-4.433453367E1
8.500943481E1,-4.441241159E1
8.521088716E1,-4.377432433E1
8.540453622E1,-4.689581045E1
8.561043669E1,-4.529856361E1
8.580845528E1,-4.235244521E1
8.600687799E1,-4.298893220E1
8.620862830E1,-4.464817111E1
8.641587908E1,-4.549870064E1
8.661066184E1,-4.564886154E1
8.680629012E1,-4.664411196E1
8.700944153E1,-4.498731891E1
8.720909189E1,-4.509832390E1
8.740681356E1,-4.380064277E1
8.760492538E1,-4.642780113E1
8.781026122E1,-4.606775741E1
8.801229580E1,-4.406181420E1
8.820665799E1,-4.624879885E1
8.840602596E1,-4.609694431E1
8.860560580E1,-4.629162923E1
8.881219590E1,-4.643570470E1
8.900604929E1,-4.642702294E1
8.920674252E1,-4.522814828E1
8.941261882E1,-4.587167086E1
8.960935960E1,-4.591172839E1
8.980701148E1,-4.490121527E1
9.001460903E1,-4.344422210E1
9.020601252E1,-4.679554186E1
9.040576622E1,-4.730724910E1
9.060663007E1,-4.454197315E1
9.081057273E1,-4.515121753E1
9.100612273E1,-4.544358684E1
9.120966340E1,-4.464644872E1
9.141459522E1,-4.482615527E1
9.160706918E1,-4.779881864E1
9.181091882E1,-4.536960302E1
9.201529288E1,-4.705189868E1
9.220569017E1,-4.513972638E1
9.240436788E1,-4.386519531E1
9.260586517E1,-4.729225760E1
9.280718523E1,-4.292459923E1
9.300783746E1,-4.692505554E1
9.321014710E1,-4.402780650E1
9.341682486E1,-4.627678262E1
9.360696075E1,-4.461957108E1
9.380511897E1,-4.711404067E1
9.401315684E1,-4.506515067E1
9.420949241E1,-4.420302906E1
9.440594366E1,-4.311987673E1
9.460413116E1,-4.534017803E1
