"Time (s)","Sound pressure level (dB)"
3.694484342E1,-2.608543619E1
3.714660535E1,-2.689871160E1
3.734085196E1,-2.498052946E1
3.753654827E1,-2.759271731E1
3.774461332E1,-2.641821022E1
3.793522764E1,-2.419926906E1
3.816105577E1,-2.209959697E1
3.833599322E1,-2.230242639E1
3.853474113E1,-2.274314323E1
3.874174702E1,-2.568501398E1
3.893099358E1,-2.475652054E1
3.913070978E1,-2.303189392E1
3.933807764E1,-2.676037310E1
3.953635957E1,-2.682511483E1
3.973435066E1,-2.612356788E1
3.993570045E1,-2.534940948E1
4.013614077E1,-2.739212391E1
4.033370931E1,-2.614965637E1
4.053994082E1,-2.385972948E1
4.073926993E1,-2.455670239E1
4.093317509E1,-2.019524117E1
4.113382285E1,-2.231967542E1
4.133783134E1,-2.364737310E1
4.153536868E1,-2.596215512E1
4.173331853E1,-2.303673812E1
4.194245842E1,-2.077584214E1
4.214309983E1,-2.461550827E1
4.233983858E1,-2.117053805E1
4.253476457E1,-2.263234003E1
4.273735144E1,-2.430655441E1
4.293365556E1,-2.249179762E1
4.314392332E1,-2.227298551E1
4.333605457E1,-2.298464180E1
4.353460925E1,-2.079289258E1
4.373680170E1,-2.310892419E1
4.393687717E1,-2.223858074E1
4.413438108E1,-2.533982058E1
4.434419587E1,-2.779157075E1
4.453576556E1,-2.730343124E1
4.473522915E1,-2.444000774E1
4.493602675E1,-2.436985231E1
4.513747561E1,-2.409659989E1
4.534240826E1,-2.519846157E1
4.553589368E1,-2.607440814E1
4.573782477E1,-2.767845485E1
4.593405842E1,-2.169784981E1
4.613735066E1,-1.994896395E1
4.633950957E1,-2.388980452E1
4.653919410E1,-1.952723126E1
4.673831212E1,-2.196218772E1
4.693792321E1,-2.258619043E1
4.714228206E1,-2.092225452E1
4.734195727E1,-2.509061083E1
4.753924154E1,-2.226539594E1
4.773860889E1,-2.550082613E1
4.794133592E1,-2.628236591E1
4.814038139E1,-2.302082333E1
4.833989071E1,-2.568008704E1
4.853520962E1,-2.484710590E1
4.873399238E1,-2.366386971E1
4.894010774E1,-2.344565843E1
4.914752800E1,-2.505369155E1
4.934385910E1,-2.554345260E1
4.953404149E1,-2.634694068E1
4.974079201E1,-2.586585868E1
4.994276686E1,-2.579941643E1
5.014572889E1,-2.436653084E1
5.033671665E1,-2.368531792E1
5.053795738E1,-2.387886685E1
5.074171446E1,-2.517207307E1
5.093517811E1,-2.196283734E1
5.113499055E1,-2.438971728E1
5.134562316E1,-2.254138913E1
5.153784009E1,-2.388257887E1
5.174301472E1,-2.261996744E1
5.193801868E1,-2.235013612E1
5.213731264E1,-2.447512829E1
5.233382300E1,-2.316435633E1
5.253629602E1,-2.218853931E1
5.273372310E1,-2.430989229E1
5.294292988E1,-2.362012887E1
5.313373316E1,-2.363870360E1
5.333674831E1,-2.349701046E1
5.353437779E1,-2.216234658E1
5.374390097E1,-2.443368848E1
5.394130784E1,-2.223803078E1
5.414271014E1,-2.355588459E1
5.433816493E1,-2.609154113E1
5.454123081E1,-2.142101235E1
5.474195295E1,-2.471612350E1
5.494579998E1,-2.343507717E1
5.514391982E1,-2.440147720E1
5.534217305E1,-2.136976315E1
5.554024264E1,-2.360740188E1
5.573687883E1,-2.363102449E1
5.593705045E1,-2.293064208E1
5.614481211E1,-2.409440079E1
5.634009336E1,-2.167625376E1
5.654123977E1,-2.227869345E1
5.673791295E1,-2.462837003E1
5.694610540E1,-2.553725108E1
5.715064164E1,-2.474205083E1
5.733758602E1,-2.451929993E1
5.753634154E1,-2.500729921E1
5.774213180E1,-2.643856721E1
5.794475654E1,-2.453859229E1
5.813724013E1,-2.564651689E1
5.834479894E1,-2.533877095E1
5.854786961E1,-2.454632561E1
5.873491623E1,-2.674271301E1
5.894413487E1,-2.523473789E1
5.914185623E1,-2.552253734E1
5.934048315E1,-2.518389813E1
5.953723623E1,-2.788897780E1
5.974266185E1,-2.524624999E1
5.994537008E1,-2.507700962E1
6.013760810E1,-2.371891069E1
6.033983342E1,-2.457992903E1
6.054398357E1,-2.560083182E1
6.076209732E1,-2.456523218E1
6.093633716E1,-2.443111691E1
6.113348685E1,-2.472163997E1
6.135151654E1,-2.497423616E1
6.154650253E1,-2.542499743E1
6.174111039E1,-2.536242812E1
6.194342560E1,-2.368204913E1
6.213354560E1,-2.465240772E1
6.234492696E1,-2.300988631E1
6.254148258E1,-2.491267866E1
6.273768487E1,-2.627834143E1
6.294097425E1,-2.187908023E1
6.313590352E1,-2.512478020E1
6.334511550E1,-2.466500258E1
6.355599977E1,-2.712487037E1
6.373311727E1,-2.437576297E1
6.393935701E1,-2.722256830E1
6.414149357E1,-2.766141039E1
6.433960419E1,-2.684149687E1
6.453705758E1,-2.557891169E1
6.473898654E1,-2.716101550E1
6.493422622E1,-2.430826544E1
6.514345018E1,-2.961658533E1
6.533808977E1,-2.882781787E1
6.553451513E1,-2.769271663E1
6.573673716E1,-2.661315038E1
6.593605565E1,-2.568777830E1
6.613759138E1,-2.609550423E1
6.634357560E1,-2.720548705E1
6.653586008E1,-2.813239248E1
6.673625221E1,-2.679901958E1
6.693569612E1,-2.664867168E1
6.713729831E1,-2.745189465E1
6.735339372E1,-2.794546532E1
6.754345305E1,-2.499596552E1
6.773371643E1,-2.941262773E1
6.793720732E1,-2.796373057E1
6.813838544E1,-2.574924312E1
6.833592133E1,-2.661552817E1
6.853901450E1,-2.844953991E1
6.873522737E1,-2.795719937E1
6.894322690E1,-2.745173113E1
6.914013867E1,-2.623680395E1
6.933860799E1,-2.738560960E1
6.953946456E1,-2.282303835E1
6.973757992E1,-2.629142147E1
6.993674128E1,-2.771238240E1
7.013763487E1,-2.556739964E1
7.033856159E1,-2.802980342E1
7.053743508E1,-2.763889982E1
7.075192799E1,-2.851442283E1
7.093784966E1,-2.642848990E1
7.113655732E1,-2.629379803E1
7.133997476E1,-1.923467032E1
